Degrees/certificates total,"Homeland Security, Law Enforcement, Firefighting, and Related Protective Service",144009,84989,59020,2018
Degrees/certificates total,Public Administration and Social Service Professions,94919,19301,75618,2018
Degrees/certificates total,Social Sciences,182131,85076,97055,2018
Degrees/certificates total,Construction Trades,26455,24997,1458,2018
Degrees/certificates total,Mechanic and Repair Technologies/Technicians,84658,79805,4853,2018
Degrees/certificates total,Precision Production,44063,40990,3073,2018
Degrees/certificates total,Transportation and Materials Moving,18281,16013,2268,2018
Degrees/certificates total,Visual and Performing Arts,144343,57365,86978,2018
Degrees/certificates total,Health Professions and Related Programs,846348,162044,684304,2018
Degrees/certificates total,"Business, Management, Marketing, and Related Support Services",785461,386550,398911,2018
Degrees/certificates total,History,29894,17545,12349,2018
Degrees/certificates total,"Agriculture, Agriculture Operations and Related Sciences",37428,18453,18975,2019
Degrees/certificates total,Natural Resources and Conservation,28597,13639,14958,2019
Degrees/certificates total,Architecture and Related Services,17533,9018,8515,2019
Degrees/certificates total,"Area, Ethnic, Cultural, Gender, and Group Studies",13450,3755,9695,2019
Degrees/certificates total,"Communication, Journalism, and Related Programs",116516,41612,74904,2019
Degrees/certificates total,Communications Technologies/Technicians and Support Services,13831,8489,5342,2019
Degrees/certificates total,Computer and Information Sciences and Support Services,210028,159120,50908,2019
Degrees/certificates total,Personal and Culinary Services,36987,10387,26600,2019
Degrees/certificates total,Education,296108,59644,236464,2019
Degrees/certificates total,Engineering,196979,150701,46278,2019
Degrees/certificates total,Engineering Technologies and Engineering-related Fields,86315,72864,13451,2019
Degrees/certificates total,"Foreign Languages, Literatures, and Linguistics",26854,8143,18711,2019
Degrees/certificates total,Family and Consumer Sciences/Human Sciences,57370,5098,52272,2019
Degrees/certificates total,Legal Professions and Studies,59737,24285,35452,2019
Degrees/certificates total,English Language and Literature/Letters,55484,16632,38852,2019
Degrees/certificates total,"Liberal Arts and Sciences, General Studies and Humanities",546788,207452,339336,2019
Degrees/certificates total,Library Science,6187,1054,5133,2019
Degrees/certificates total,Biological and Biomedical Sciences,157100,58885,98215,2019
Degrees/certificates total,Mathematics and Statistics,44846,26686,18160,2019
Degrees/certificates total,Military Technologies and Applied Sciences,2759,2113,646,2019
Degrees/certificates total,Multi/Interdisciplinary Studies,106044,40048,65996,2019
Degrees/certificates total,"Parks, Recreation, Leisure and Fitness Studies",70536,36110,34426,2019
Degrees/certificates total,Philosophy and Religious Studies,13418,8107,5311,2019
Degrees/certificates total,Theology and Religious Vocations,28436,18445,9991,2019
Degrees/certificates total,Physical Sciences,51294,30920,20374,2019
Degrees/certificates total,Science Technologies/Technicians,7398,3949,3449,2019
Degrees/certificates total,Psychology,169578,35408,134170,2019
Degrees/certificates total,"Homeland Security, Law Enforcement, Firefighting, and Related Protective Service",138536,78402,60134,2019
Degrees/certificates total,Public Administration and Social Service Professions,96751,19265,77486,2019
Degrees/certificates total,Social Sciences,185687,84928,100759,2019
Degrees/certificates total,Construction Trades,28234,26294,1940,2019
Degrees/certificates total,Mechanic and Repair Technologies/Technicians,83235,78068,5167,2019
Degrees/certificates total,Precision Production,46262,42782,3480,2019
Degrees/certificates total,Transportation and Materials Moving,19035,16664,2371,2019
Degrees/certificates total,Visual and Performing Arts,146180,57327,88853,2019
Degrees/certificates total,Health Professions and Related Programs,870031,165128,704903,2019
Degrees/certificates total,"Business, Management, Marketing, and Related Support Services",805638,397010,408628,2019
Degrees/certificates total,Agricultural/Animal/Plant/Veterinary Science and Related Fields,48946,18942,30004,2020
Degrees/certificates total,Natural Resources and Conservation,29040,13432,15608,2020
Degrees/certificates total,Architecture and Related Services,17337,8819,8518,2020
Degrees/certificates total,"Area, Ethnic, Cultural, Gender, and Group Studies",13224,3619,9605,2020
Degrees/certificates total,"Communication, Journalism, and Related Programs",116080,41812,74268,2020
Degrees/certificates total,Communications Technologies/Technicians and Support Services,13242,7983,5259,2020
Degrees/certificates total,Computer and Information Sciences and Support Services,226264,170411,55853,2020
Degrees/certificates total,"Culinary, Entertainment, and Personal Services",32761,8713,24048,2020
Degrees/certificates total,Education,299646,59665,239981,2020
Degrees/certificates total,Engineering,196433,148456,47977,2020
Degrees/certificates total,Engineering/Engineering-related Technologies/Technicians,80594,67610,12984,2020
Degrees/certificates total,"Foreign Languages, Literatures, and Linguistics",26814,8123,18691,2020
Degrees/certificates total,Family and Consumer Sciences/Human Sciences,54900,5078,49822,2020
Degrees/certificates total,Legal Professions and Studies,60607,24198,36409,2020
Degrees/certificates total,English Language and Literature/Letters,53063,15433,37630,2020
Degrees/certificates total,"Liberal Arts and Sciences, General Studies and Humanities",558119,207537,350582,2020
Degrees/certificates total,Library Science,5878,949,4929,2020
Degrees/certificates total,Biological and Biomedical Sciences,163612,59084,104528,2020
Degrees/certificates total,Mathematics and Statistics,47072,28191,18881,2020
Degrees/certificates total,Military Technologies and Applied Sciences,3515,2613,902,2020
Degrees/certificates total,Multi/Interdisciplinary Studies,111322,41324,69998,2020
Degrees/certificates total,"Parks, Recreation, Leisure, Fitness, and Kinesiology",70672,36423,34249,2020
Degrees/certificates total,Philosophy and Religious Studies,17332,11449,5883,2020
Degrees/certificates total,Theology and Religious Vocations,24096,14806,9290,2020
Degrees/certificates total,Physical Sciences,50494,29631,20863,2020
Degrees/certificates total,Science Technologies/Technicians,7295,3807,3488,2020
Degrees/certificates total,Psychology,175742,36408,139334,2020
Degrees/certificates total,Public Administration and Social Service Professions,96020,18811,77209,2020
Degrees/certificates total,Social Sciences,187876,85025,102851,2020
Degrees/certificates total,Construction Trades,29405,27466,1939,2020
Degrees/certificates total,Mechanic and Repair Technologies/Technicians,78238,73180,5058,2020
Degrees/certificates total,Precision Production,41448,37866,3582,2020
Degrees/certificates total,Transportation and Materials Moving,17391,15007,2384,2020
Degrees/certificates total,Visual and Performing Arts,148453,57112,91341,2020
Degrees/certificates total,Health Professions and Related Programs,850160,159431,690729,2020
Degrees/certificates total,"Business, Management, Marketing, and Related Support Services",803395,395314,408081,2020
Degrees/certificates total,History,29936,17432,12504,2020
Degrees/certificates total,Agricultural/Animal/Plant/Veterinary Science and Related Fields,47480,17187,30293,2021
Degrees/certificates total,Natural Resources and Conservation,29206,13011,16195,2021
Degrees/certificates total,Architecture and Related Services,17138,8476,8662,2021
Degrees/certificates total,"Area, Ethnic, Cultural, Gender, and Group Studies",12674,3354,9320,2021
Degrees/certificates total,"Communication, Journalism, and Related Programs",115319,41213,74106,2021
Degrees/certificates total,Communications Technologies/Technicians and Support Services,12763,7432,5331,2021
Degrees/certificates total,Computer and Information Sciences and Support Services,242460,181070,61390,2021
Degrees/certificates total,"Culinary, Entertainment, and Personal Services",31116,7677,23439,2021
Degrees/certificates total,Education,316328,61224,255104,2021
Degrees/certificates total,Engineering,194022,145434,48588,2021
Degrees/certificates total,Engineering/Engineering-related Technologies/Technicians,78341,65232,13109,2021
Degrees/certificates total,"Foreign Languages, Literatures, and Linguistics",26192,7523,18669,2021
